,importance,stddev,p_value,n,p99_high,p99_low
podcast_avg_length,0.039250212398426146,0.003286345105835855,5.84275005294418e-06,5,0.04601684239345858,0.03248358240339371
Guest_Pop_missing,0.038527082012251766,0.00960738749695443,0.0004279186366301717,5,0.05830882565668766,0.018745338367815872
missing_guest_x_host_pop,0.036469965526762495,0.005510495183993772,6.068713164984669e-05,5,0.047816151273743036,0.025123779779781953
title_tfidf_1,0.03525105757791245,0.018888162765950456,0.00699756941376579,5,0.07414204577515716,-0.0036399306193322656
is_evening,0.033556051246666385,0.00614276807478162,0.00012894202636894088,5,0.04620409561471915,0.02090800687861362
is_afternoon,0.03328020446558781,0.004179161972802403,2.922251754075192e-05,5,0.041885156729744855,0.024675252201430766
ads_x_primetime,0.030372693041874753,0.006755909234767249,0.00027533600971340477,5,0.044283203532849355,0.01646218255090015
is_weekend,0.028015488708111037,0.0037192553721876053,3.641456687205068e-05,5,0.03567348692501748,0.0203574904912046
podcast_max_listening,0.02581415248334018,0.007522200659549259,0.000775340597438489,5,0.04130246760921397,0.010325837357466387
title_tfidf_10,0.024932913935933953,0.009779482006895015,0.002339551842212312,5,0.04506900255493641,0.004796825316931489
title_tfidf_7,0.021710201823396603,0.01166978200999375,0.007072984397512198,5,0.045738444275501916,-0.002318040628708714
title_tfidf_9,0.020869490972857462,0.011554638688747832,0.007810453613691179,5,0.04466065173506761,-0.002921669789352682
hour_num,0.02029596189691709,0.004054384485031437,0.00018133479511978195,5,0.028643995589145564,0.011947928204688619
title_tfidf_8,0.017965642531659044,0.009172731911959974,0.005939561417342994,5,0.03685242431901274,-0.0009211392556946543
title_tfidf_6,0.017046094219906393,0.007109380013084076,0.0029204214583014613,5,0.03168440592892068,0.0024077825108921036
title_tfidf_19,0.01648677697594465,0.004512456796988351,0.0006110975452825902,5,0.02577798788972458,0.0071955660621647165
title_tfidf_16,0.013390227406311439,0.005374507698599199,0.0025433961071067938,5,0.024456413041317765,0.0023240417713051107
title_tfidf_12,0.012877232895788637,0.006046523285799433,0.004445618259263931,5,0.025327107913082732,0.00042735787849454074
genre_frequency,0.012765237220268944,0.0056197996977106575,0.003542408822654068,5,0.024336482471741482,0.001193991968796406
title_tfidf_4,0.01272963706211705,0.0069825839033482474,0.007571085450194033,5,0.02710687382867679,-0.001647599704442693
title_tfidf_17,0.012448881827270242,0.009292258895589251,0.02005646006337863,5,0.0315817713259551,-0.006684007671414615
title_tfidf_14,0.012132810748176227,0.0051564341689694015,0.0031243851233109803,5,0.02274997997157831,0.0015156415247741424
title_tfidf_13,0.011943922740061197,0.004948468619055128,0.002851589202094537,5,0.022132888021800426,0.0017549574583219669
genre_std_listening,0.011420840192993964,0.002969235305482495,0.0005021200148443393,5,0.017534536726175613,0.005307143659812315
title_tfidf_2,0.011118733970052119,0.0043123200815692354,0.002245742786211644,5,0.019997860620600723,0.0022396073195035168
title_tfidf_15,0.0106393686004413,0.005887410427335904,0.00779629673722649,5,0.022761628042985576,-0.0014828908421029748
genre_avg_guest_pop,0.010521179368717526,0.0024428059615507827,0.0003250058833508411,5,0.015550950606717018,0.005491408130718034
title_tfidf_11,0.010401561484290412,0.002941593425301825,0.0006921002465220841,5,0.016458343004128677,0.004344779964452147
genre_frequency_norm,0.010325026101398294,0.002720777135358832,0.0005287034245034576,5,0.01592714382823847,0.004722908374558118
genre_med_listening,0.010137315904174571,0.00295726902741464,0.0007785982717417275,5,0.01622637370542297,0.004048258102926174
genre_avg_listening,0.010046923304179601,0.0017646304520489637,0.0001096499551984547,5,0.013680321794733188,0.006413524813626014
title_tfidf_0,0.009953508206632832,0.0038849219264640664,0.002298088599258189,5,0.017952616148549618,0.001954400264716046
title_tfidf_20,0.009702314061678052,0.006212357967848713,0.012535949088577965,5,0.022493644981390497,-0.0030890168580343953
title_tfidf_21,0.009530893700631182,0.002363028998923717,0.0004185431901632185,5,0.014396403069946743,0.004665384331315621
title_tfidf_3,0.0093165852464125,0.009392775164168487,0.045410543531644094,5,0.028656439131384475,-0.010023268638559475
genre_avg_length,0.008989259097395319,0.0062461891907687325,0.016170079395214074,5,0.02185024897269728,-0.003871730777906644
title_tfidf_23,0.008954105281870994,0.002726990157022787,0.0009160931716552871,5,0.01456901570619034,0.003339194857551649
title_tfidf_5,0.008735256438399475,0.004660995717700372,0.006899614271101628,5,0.01833231104295152,-0.0008617981661525713
title_tfidf_30,0.008048603461735837,0.003753694655901535,0.0043413654059367545,5,0.015777512639810743,0.00031969428366093126
title_tfidf_22,0.007775025257421931,0.004615036233062816,0.00982651880671076,5,0.017277448647877662,-0.0017273981330338025
title_tfidf_18,0.0047128174486996246,0.0012074364598418344,0.00047471323526521153,5,0.007198945808059343,0.002226689089339906
